Country,Concept,LocalTerm
España,Singular de confianza,tú
Guatemala,Singular de confianza,"tú, vos"
México,Singular de confianza,"tú, vos (Tabasco y Chiapas)"
Puerto Rico,Singular de confianza,tú
España,Singular de respeto,usted​
Guatemala,Singular de respeto,usted​
México,Singular de respeto,usted​
Puerto Rico,Singular de respeto,usted​
España,Plural de confianza,vosotros​ (ustedes en Andalucía Occidental y Canarias)​
Guatemala,Plural de confianza,"ustedes,​ muchá​"
México,Plural de confianza,ustedes​
Puerto Rico,Plural de confianza,ustedes​
España,Plural de respeto,ustedes​
Guatemala,Plural de respeto,ustedes​
México,Plural de respeto,ustedes​
Puerto Rico,Plural de respeto,ustedes​
España,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,cuanto más … más …​
Guatemala,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"cuanto más … más …, mientras más … más …"
México,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"entre más … más …,​ mientras más … más …​"
Puerto Rico,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"mientras más … más …,​ cuanto más … más …,​ entre más … más …​"
España,Que lleva el acento en la sílaba anterior a la última,"llana, grave"
Guatemala,Que lleva el acento en la sílaba anterior a la última,grave
México,Que lleva el acento en la sílaba anterior a la última,"grave, llana"
Puerto Rico,Que lleva el acento en la sílaba anterior a la última,llana
España,Aparato electroacústico que reproduce un sonido,"altavoz, bafle"
Guatemala,Aparato electroacústico que reproduce un sonido,bocina
México,Aparato electroacústico que reproduce un sonido,"bocina, bafle, altavoz"
Puerto Rico,Aparato electroacústico que reproduce un sonido,"altoparlante, bocina"
España,Máquina que rueda sobre rodillos pesados para aplanar el terreno,apisonadora
Guatemala,Máquina que rueda sobre rodillos pesados para aplanar el terreno,aplanadora
México,Máquina que rueda sobre rodillos pesados para aplanar el terreno,aplanadora
Puerto Rico,Máquina que rueda sobre rodillos pesados para aplanar el terreno,aplanadora
España,Aparato para subir y bajar personas en un edificio,ascensor​
Guatemala,Aparato para subir y bajar personas en un edificio,"elevador, ascensor"
México,Aparato para subir y bajar personas en un edificio,"elevador,​ ascensor"
Puerto Rico,Aparato para subir y bajar personas en un edificio,"ascensor, elevador"
España,Máquina para lavar ropa,lavadora​
Guatemala,Máquina para lavar ropa,lavadora
México,Máquina para lavar ropa,lavadora​
Puerto Rico,Máquina para lavar ropa,lavadora
España,Aparato manual conectado a una computadora que sirve para mover el cursor en la pantalla,ratón​ (de ordenador)
Guatemala,Aparato manual conectado a una computadora que sirve para mover el cursor en la pantalla,mouse​
México,Aparato manual conectado a una computadora que sirve para mover el cursor en la pantalla,"mouse,​ ratón"
Puerto Rico,Aparato manual conectado a una computadora que sirve para mover el cursor en la pantalla,mouse​
España,Dispositivo que sirve para manejar a distancia el funcionamiento de un mecanismo electrónico,mando a distancia
Guatemala,Dispositivo que sirve para manejar a distancia el funcionamiento de un mecanismo electrónico,control remoto
México,Dispositivo que sirve para manejar a distancia el funcionamiento de un mecanismo electrónico,control remoto
Puerto Rico,Dispositivo que sirve para manejar a distancia el funcionamiento de un mecanismo electrónico,control remoto
España,"Computadora portátil de peso y tamaño ligero, su tamaño es aproximado al de un portafolio o menor",(ordenador) portátil
Guatemala,"Computadora portátil de peso y tamaño ligero, su tamaño es aproximado al de un portafolio o menor",(la) laptop
México,"Computadora portátil de peso y tamaño ligero, su tamaño es aproximado al de un portafolio o menor","(la) laptop, (la) notebook"
Puerto Rico,"Computadora portátil de peso y tamaño ligero, su tamaño es aproximado al de un portafolio o menor","(la) laptop, computadora portátil"
España,Electrodoméstico que sirve para secar la ropa,(máquina) secadora
