Country,Concept,LocalTerm,table_index,table_heading
España,Singular de confianza,tú,0,Léxico gramatical (1)
Guatemala,Singular de confianza,"tú, vos",0,Léxico gramatical (1)
México,Singular de confianza,"tú, vos (Tabasco y Chiapas)",0,Léxico gramatical (1)
Puerto Rico,Singular de confianza,tú,0,Léxico gramatical (1)
España,Singular de respeto,usted​,0,Léxico gramatical (1)
Guatemala,Singular de respeto,usted​,0,Léxico gramatical (1)
México,Singular de respeto,usted​,0,Léxico gramatical (1)
Puerto Rico,Singular de respeto,usted​,0,Léxico gramatical (1)
España,Plural de confianza,vosotros​ (ustedes en Andalucía Occidental y Canarias)​,0,Léxico gramatical (1)
Guatemala,Plural de confianza,"ustedes,​ muchá​",0,Léxico gramatical (1)
México,Plural de confianza,ustedes​,0,Léxico gramatical (1)
Puerto Rico,Plural de confianza,ustedes​,0,Léxico gramatical (1)
España,Plural de respeto,ustedes​,0,Léxico gramatical (1)
Guatemala,Plural de respeto,ustedes​,0,Léxico gramatical (1)
México,Plural de respeto,ustedes​,0,Léxico gramatical (1)
Puerto Rico,Plural de respeto,ustedes​,0,Léxico gramatical (1)
España,Nombre de la letra b B,"be, be de burro (informal)",1,Léxico gramatical (2)
Guatemala,Nombre de la letra b B,"be grande, be labial",1,Léxico gramatical (2)
México,Nombre de la letra b B,"be, be larga, be de burro (informal), be grande",1,Léxico gramatical (2)
Puerto Rico,Nombre de la letra b B,"be, be larga, be de burro",1,Léxico gramatical (2)
España,Nombre de la letra v V,uve,1,Léxico gramatical (2)
Guatemala,Nombre de la letra v V,"ve pequeña, uve, ve de vaca",1,Léxico gramatical (2)
México,Nombre de la letra v V,"ve corta, ve chica, ve de vaca, uvé, ve chiquita",1,Léxico gramatical (2)
Puerto Rico,Nombre de la letra v V,"uve, ve de vaca",1,Léxico gramatical (2)
España,Nombre de la letra w W,uve doble,1,Léxico gramatical (2)
Guatemala,Nombre de la letra w W,doble ve,1,Léxico gramatical (2)
México,Nombre de la letra w W,"doble u, doble ve",1,Léxico gramatical (2)
Puerto Rico,Nombre de la letra w W,doble u,1,Léxico gramatical (2)
España,Nombre de la letra y Y,i griega,1,Léxico gramatical (2)
Guatemala,Nombre de la letra y Y,i griega,1,Léxico gramatical (2)
México,Nombre de la letra y Y,"i griega, ye",1,Léxico gramatical (2)
Puerto Rico,Nombre de la letra y Y,"i griega, ye",1,Léxico gramatical (2)
España,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,cuanto más … más …​,2,Léxico gramatical (3)
Guatemala,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"cuanto más … más …, mientras más … más …",2,Léxico gramatical (3)
México,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"entre más … más …,​ mientras más … más …​",2,Léxico gramatical (3)
Puerto Rico,Adverbio que introduce una oración que indica una cantidad que depende o está en correlación con otra,"mientras más … más …,​ cuanto más … más …,​ entre más … más …​",2,Léxico gramatical (3)
España,Que lleva el acento en la sílaba anterior a la última,"llana, grave",2,Léxico gramatical (3)
Guatemala,Que lleva el acento en la sílaba anterior a la última,grave,2,Léxico gramatical (3)
México,Que lleva el acento en la sílaba anterior a la última,"grave, llana",2,Léxico gramatical (3)
Puerto Rico,Que lleva el acento en la sílaba anterior a la última,llana,2,Léxico gramatical (3)
España,Que se dedica a entregar envíos o mercancías a domicilio Repartidor,repartidor,3,Personas y oficios (1)
Guatemala,Que se dedica a entregar envíos o mercancías a domicilio Repartidor,repartidor,3,Personas y oficios (1)
México,Que se dedica a entregar envíos o mercancías a domicilio Repartidor,repartidor,3,Personas y oficios (1)
Puerto Rico,Que se dedica a entregar envíos o mercancías a domicilio Repartidor,"repartidor, mensajero",3,Personas y oficios (1)
España,Persona que no tiene empleo o trabajo o está buscando Unnamed: 2_level_1,"parado,​ desempleado",3,Personas y oficios (1)
Guatemala,Persona que no tiene empleo o trabajo o está buscando Unnamed: 2_level_1,desempleado,3,Personas y oficios (1)
México,Persona que no tiene empleo o trabajo o está buscando Unnamed: 2_level_1,desempleado​,3,Personas y oficios (1)
Puerto Rico,Persona que no tiene empleo o trabajo o está buscando Unnamed: 2_level_1,desempleado,3,Personas y oficios (1)
España,Maestro que enseña en el nivel preescolar a niños menores de 6 años Unnamed: 3_level_1,maestro de un jardín de infancia o de educación infantil,3,Personas y oficios (1)
Guatemala,Maestro que enseña en el nivel preescolar a niños menores de 6 años Unnamed: 3_level_1,maestro de párvulos,3,Personas y oficios (1)
México,Maestro que enseña en el nivel preescolar a niños menores de 6 años Unnamed: 3_level_1,"educador, maestro de kínder, maestro de preescolar",3,Personas y oficios (1)
Puerto Rico,Maestro que enseña en el nivel preescolar a niños menores de 6 años Unnamed: 3_level_1,maestro de preescolar,3,Personas y oficios (1)
España,Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público Contador público,contable,3,Personas y oficios (1)
Guatemala,Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público Contador público,contador,3,Personas y oficios (1)
México,Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público Contador público,contador,3,Personas y oficios (1)
Puerto Rico,Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público Contador público,"contador, contable",3,Personas y oficios (1)
España,Persona especializada en la instalación y reparación de las conducciones de agua y similares. Fontanero,"fontanero,​ lampista,​ plomero (Andalucía)",4,Personas y oficios (2)
Guatemala,Persona especializada en la instalación y reparación de las conducciones de agua y similares. Fontanero,"plomero, fontanero",4,Personas y oficios (2)
México,Persona especializada en la instalación y reparación de las conducciones de agua y similares. Fontanero,"plomero,​ fontanero",4,Personas y oficios (2)
Puerto Rico,Persona especializada en la instalación y reparación de las conducciones de agua y similares. Fontanero,plomero,4,Personas y oficios (2)
España,"Representante ante los medios de una empresa, entidad o grupo social. Portavoz",portavoz​,4,Personas y oficios (2)
Guatemala,"Representante ante los medios de una empresa, entidad o grupo social. Portavoz","vocero, representante",4,Personas y oficios (2)
México,"Representante ante los medios de una empresa, entidad o grupo social. Portavoz","portavoz,​ vocero,​ publirrelacionista",4,Personas y oficios (2)
Puerto Rico,"Representante ante los medios de una empresa, entidad o grupo social. Portavoz","portavoz, vocero",4,Personas y oficios (2)
España,Principal mandatario de un municipio del propio país​ Alcalde,alcalde​,4,Personas y oficios (2)
Guatemala,Principal mandatario de un municipio del propio país​ Alcalde,alcalde (municipal),4,Personas y oficios (2)
México,Principal mandatario de un municipio del propio país​ Alcalde,"presidente municipal,​ alcalde,​ primer edil, edil​",4,Personas y oficios (2)
Puerto Rico,Principal mandatario de un municipio del propio país​ Alcalde,alcalde,4,Personas y oficios (2)
España,Principal mandatario de un municipio extranjero de habla no hispana Alcalde,alcalde,4,Personas y oficios (2)
Guatemala,Principal mandatario de un municipio extranjero de habla no hispana Alcalde,alcalde,4,Personas y oficios (2)
México,Principal mandatario de un municipio extranjero de habla no hispana Alcalde,alcalde​​,4,Personas y oficios (2)
Puerto Rico,Principal mandatario de un municipio extranjero de habla no hispana Alcalde,alcalde,4,Personas y oficios (2)
España,"Persona que atiende o es dueña de una tienda de diversos alimentos básicos (conocida según el país como 'almacén', 'bodega', 'colmado', 'pulpería', 'tienda ', etc.) Vendedor",vendedor,5,Personas y oficios (3)
Guatemala,"Persona que atiende o es dueña de una tienda de diversos alimentos básicos (conocida según el país como 'almacén', 'bodega', 'colmado', 'pulpería', 'tienda ', etc.) Vendedor",vendedor,5,Personas y oficios (3)
México,"Persona que atiende o es dueña de una tienda de diversos alimentos básicos (conocida según el país como 'almacén', 'bodega', 'colmado', 'pulpería', 'tienda ', etc.) Vendedor","vendedor, abarrotero",5,Personas y oficios (3)
Puerto Rico,"Persona que atiende o es dueña de una tienda de diversos alimentos básicos (conocida según el país como 'almacén', 'bodega', 'colmado', 'pulpería', 'tienda ', etc.) Vendedor","vendedor, dependiente, bodeguero",5,Personas y oficios (3)
España,"Empleada que hace los trabajos domésticos de una casa, hotel o pensión Sirvienta","asistenta (doméstica), chica, empleada doméstica, empleada de hogar, limpiadora doméstica, mujer de la limpieza, chacha (despectivo)",5,Personas y oficios (3)
Guatemala,"Empleada que hace los trabajos domésticos de una casa, hotel o pensión Sirvienta","muchacha del servicio, señora del servicio, doméstica, empleada, muchacha de la limpieza, muchacha que limpia, personal de servicio doméstico, trabajadora de casa(s) particular(es), trabajadora de limpieza, trabajadora del hogar, trabajadora doméstica, trabajadora doméstica",5,Personas y oficios (3)
México,"Empleada que hace los trabajos domésticos de una casa, hotel o pensión Sirvienta","chica que ayuda, empleada doméstica, empleada de limpieza, intendente, chacha (despectivo), muchacha (que ayuda), señora de la limpieza, servicio, trabajadora de limpieza, trabajadora del hogar, mozo (en hoteles y hospitales), mucama",5,Personas y oficios (3)
Puerto Rico,"Empleada que hace los trabajos domésticos de una casa, hotel o pensión Sirvienta","criada, empleada doméstica, mucama (en un hotel)",5,Personas y oficios (3)
España,Persona que presenta un programa de televisión o de radio Presentador,"presentador, animador",5,Personas y oficios (3)
Guatemala,Persona que presenta un programa de televisión o de radio Presentador,presentador,5,Personas y oficios (3)
México,Persona que presenta un programa de televisión o de radio Presentador,"conductor, presentador, maestro de ceremonias",5,Personas y oficios (3)
Puerto Rico,Persona que presenta un programa de televisión o de radio Presentador,"animador, presentador",5,Personas y oficios (3)
España,Persona que en ciertas competiciones deportivas es la encargada de hacer cumplir el reglamento Árbitro,"árbitro, ampáyer (béisbol), ompáyer (béisbol), colegiado",5,Personas y oficios (3)
Guatemala,Persona que en ciertas competiciones deportivas es la encargada de hacer cumplir el reglamento Árbitro,árbitro,5,Personas y oficios (3)
México,Persona que en ciertas competiciones deportivas es la encargada de hacer cumplir el reglamento Árbitro,"juez (general), árbitro (futbol), umpire (béisbol), ampáyer (béisbol), réferi (boxeo)",5,Personas y oficios (3)
Puerto Rico,Persona que en ciertas competiciones deportivas es la encargada de hacer cumplir el reglamento Árbitro,"árbitro, juez, referí",5,Personas y oficios (3)
España,Persona que se dedica a vigilar los coches aparcados en determinadas calles de grandes ciudades y/o de informar de una plaza de aparcamiento libre a cambio de una propina Cuidador de automóviles,"gorrilla, aparcacoches",6,Personas y oficios (4)
Guatemala,Persona que se dedica a vigilar los coches aparcados en determinadas calles de grandes ciudades y/o de informar de una plaza de aparcamiento libre a cambio de una propina Cuidador de automóviles,cuidacarros,6,Personas y oficios (4)
México,Persona que se dedica a vigilar los coches aparcados en determinadas calles de grandes ciudades y/o de informar de una plaza de aparcamiento libre a cambio de una propina Cuidador de automóviles,"franelero, viene-viene, guardia, cuidador, vigilante, cuida coches",6,Personas y oficios (4)
Puerto Rico,Persona que se dedica a vigilar los coches aparcados en determinadas calles de grandes ciudades y/o de informar de una plaza de aparcamiento libre a cambio de una propina Cuidador de automóviles,"buscón, guardia",6,Personas y oficios (4)
España,"Funcionario público que tiene autoridad para dar fe de los actos públicos realizados ante él y redacta y garantiza documentos, como testamentos, contratos, escrituras de compra y venta, etc. Notario",notario,6,Personas y oficios (4)
Guatemala,"Funcionario público que tiene autoridad para dar fe de los actos públicos realizados ante él y redacta y garantiza documentos, como testamentos, contratos, escrituras de compra y venta, etc. Notario",notario,6,Personas y oficios (4)
México,"Funcionario público que tiene autoridad para dar fe de los actos públicos realizados ante él y redacta y garantiza documentos, como testamentos, contratos, escrituras de compra y venta, etc. Notario",notario,6,Personas y oficios (4)
Puerto Rico,"Funcionario público que tiene autoridad para dar fe de los actos públicos realizados ante él y redacta y garantiza documentos, como testamentos, contratos, escrituras de compra y venta, etc. Notario",notario,6,Personas y oficios (4)
España,"Trabajador/a por cuenta ajena cuyo empleador es el Estado, como por ejemplo, el personal de la policía o de escuelas públicas Funcionario",funcionario,6,Personas y oficios (4)
Guatemala,"Trabajador/a por cuenta ajena cuyo empleador es el Estado, como por ejemplo, el personal de la policía o de escuelas públicas Funcionario","empleado público, funcionario (público), servidor público",6,Personas y oficios (4)
México,"Trabajador/a por cuenta ajena cuyo empleador es el Estado, como por ejemplo, el personal de la policía o de escuelas públicas Funcionario","funcionario, servidor público, empleado del gobierno",6,Personas y oficios (4)
Puerto Rico,"Trabajador/a por cuenta ajena cuyo empleador es el Estado, como por ejemplo, el personal de la policía o de escuelas públicas Funcionario",empleado público,6,Personas y oficios (4)
España,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),"portero, gorila, segurata",6,Personas y oficios (4)
Guatemala,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),guardia,6,Personas y oficios (4)
México,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),cadenero,6,Personas y oficios (4)
Puerto Rico,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),bouncer,6,Personas y oficios (4)
España,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1","apoderado de mesa, interventor de mesa",7,Personas y oficios (5)
Guatemala,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1","fiscal de junta receptora de votos, fiscal de mesa",7,Personas y oficios (5)
México,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1",observador,7,Personas y oficios (5)
