table_index,row_index,column,value
0,0,País,Argentina
0,0,Singular de confianza,"vos, tú (Salta y Jujuy)"
0,0,Singular de respeto,usted​
0,0,Plural de confianza,ustedes​
0,0,Plural de respeto,ustedes​
0,1,País,Belice
0,1,Singular de confianza,"tú, vos"
0,1,Singular de respeto,usted
0,1,Plural de confianza,ustedes
0,1,Plural de respeto,ustedes
0,2,País,Bolivia
0,2,Singular de confianza,"tú, vos (informal)"
0,2,Singular de respeto,usted​
0,2,Plural de confianza,ustedes​
0,2,Plural de respeto,ustedes​
0,3,País,Chile
0,3,Singular de confianza,"tú, vos (coloquial)"
0,3,Singular de respeto,usted​
0,3,Plural de confianza,ustedes​
0,3,Plural de respeto,ustedes​
0,4,País,Colombia
0,4,Singular de confianza,"tú, vos (Valle del Cauca, Antioquia, Nariño), usted​"
0,4,Singular de respeto,usted​
0,4,Plural de confianza,ustedes​
0,4,Plural de respeto,ustedes​
0,5,País,Costa Rica
0,5,Singular de confianza,"usted,​ vos, tú (por escrito; en forma hablada connota pedantería)"
0,5,Singular de respeto,usted​
0,5,Plural de confianza,ustedes​
0,5,Plural de respeto,ustedes​
0,6,País,Cuba
0,6,Singular de confianza,tú
0,6,Singular de respeto,usted​
0,6,Plural de confianza,ustedes​
0,6,Plural de respeto,ustedes​
0,7,País,Ecuador
0,7,Singular de confianza,"tú, vos"
0,7,Singular de respeto,usted​
0,7,Plural de confianza,ustedes​
0,7,Plural de respeto,ustedes​
0,8,País,El Salvador
0,8,Singular de confianza,"vos (más popular), tú"
0,8,Singular de respeto,usted​
0,8,Plural de confianza,ustedes​
0,8,Plural de respeto,ustedes​
0,9,País,España
0,9,Singular de confianza,tú
0,9,Singular de respeto,usted​
0,9,Plural de confianza,vosotros​ (ustedes en Andalucía Occidental y Canarias)​
0,9,Plural de respeto,ustedes​
0,10,País,Filipinas
0,10,Singular de confianza,"tú, vos (en lugares donde se habla chabacano)"
0,10,Singular de respeto,usted
0,10,Plural de confianza,vosotros
0,10,Plural de respeto,ustedes
0,11,País,Guatemala
0,11,Singular de confianza,"tú, vos"
0,11,Singular de respeto,usted​
0,11,Plural de confianza,"ustedes,​ muchá​"
0,11,Plural de respeto,ustedes​
0,12,País,Guinea Ecuatorial
0,12,Singular de confianza,tú​
0,12,Singular de respeto,usted​
0,12,Plural de confianza,"vosotros,​ ustedes​"
0,12,Plural de respeto,"ustedes,​ vosotros​"
